Rooftransmittance,Walltransmittance,Parede Interna,RoofAbsortance,WallAbsortance,SGH,DPI,CDH,Consumo
0.33,0.11,par1_ar,0.2,0.8,0.65,15,3495,126.2102761
0.33,0.11,par1_ar,0.5,0.8,0.65,10.5,3495,91.69059403
0.33,0.11,par1_ar,0.8,0.8,0.65,10.5,3495,93.19362569
0.33,0.11,par2_la,0.2,0.8,0.65,10.5,3495,89.06599764
0.33,0.11,par2_la,0.2,0.8,0.65,15,3495,124.5629441
0.33,0.11,par2_la,0.5,0.8,0.65,15,3495,126.2078569
0.33,0.11,par2_la,0.8,0.2,0.29,10.5,3495,89.17032712
0.33,0.63,par1_ar,0.2,0.2,0.37,8.7,3495,65.32812198
0.33,0.63,par1_ar,0.2,0.5,0.37,8.7,3495,67.60215346
0.33,0.63,par1_ar,0.8,0.2,0.37,15,3495,115.4606898
0.33,0.63,par1_ar,0.8,0.2,0.37,8.7,3495,68.1401072
0.33,0.63,par1_ar,0.8,0.5,0.37,8.7,3495,70.43445991
0.33,0.63,par1_ar,0.8,0.8,0.29,10.5,3495,85.23295167
0.33,0.63,par1_ar,0.8,0.8,0.65,15,3495,122.2922942
0.33,0.63,par2_la,0.2,0.2,0.37,8.7,3495,65.12883688
0.33,0.63,par2_la,0.2,0.5,0.29,15,3495,113.1892519
0.33,0.63,par2_la,0.2,0.5,0.37,15,3495,113.2465559
0.33,0.63,par2_la,0.2,0.5,0.37,8.7,3495,67.33239954
0.33,0.63,par2_la,0.2,0.5,0.65,8.7,3495,68.87646258
0.33,0.63,par2_la,0.5,0.5,0.37,8.7,3495,68.66331065
0.33,0.63,par2_la,0.8,0.5,0.29,10.5,3495,82.12960461
0.33,0.63,par2_la,0.8,0.5,0.29,15,3495,116.1936088
0.33,0.63,par2_la,0.8,0.5,0.65,15,3495,118.0894883
0.33,0.63,par2_la,0.8,0.8,0.29,15,3495,118.576048
0.33,0.63,par2_la,0.8,0.8,0.65,10.5,3495,86.17597545
0.33,0.63,par2_la,0.8,0.8,0.65,15,3495,120.51443
0.33,1.8,par1_ar,0.2,0.2,0.37,8.7,3495,53.24875865
0.33,1.8,par1_ar,0.2,0.2,0.65,8.7,3495,54.05784617
0.33,1.8,par1_ar,0.2,0.5,0.37,15,3495,95.02230713
0.33,1.8,par1_ar,0.2,0.8,0.37,15,3495,102.9972648
0.33,1.8,par1_ar,0.2,0.8,0.65,8.7,3495,66.42730188
0.33,1.8,par1_ar,0.5,0.2,0.37,15,3495,88.4738507
0.33,1.8,par1_ar,0.5,0.2,0.65,8.7,3495,54.96859596
0.33,1.8,par1_ar,0.5,0.5,0.29,10.5,3495,68.50014703
0.33,1.8,par1_ar,0.5,0.8,0.29,10.5,3495,75.59931127
0.33,1.8,par1_ar,0.5,0.8,0.29,8.7,3495,66.39750906
0.33,1.8,par1_ar,0.5,0.8,0.37,10.5,3495,75.61279171
0.33,1.8,par1_ar,0.5,0.8,0.37,15,3495,104.3294698
0.33,1.8,par1_ar,0.8,0.2,0.37,8.7,3495,54.94831863
0.33,1.8,par2_la,0.2,0.2,0.65,8.7,3495,56.7508055
0.33,1.8,par2_la,0.5,0.8,0.37,8.7,3495,67.90184641
0.33,2.6,par_2.6,0.2,0.2,0.37,10.5,3495,62.83893989
0.33,2.6,par_2.6,0.2,0.2,0.65,8.7,3495,54.27000888
0.33,2.6,par_2.6,0.2,0.5,0.37,15,3495,101.2095356
0.33,2.6,par_2.6,0.2,0.8,0.37,15,3495,109.9079029
0.33,2.6,par_2.6,0.2,0.8,0.37,8.7,3495,67.07783727
0.33,2.6,par_2.6,0.2,0.8,0.65,15,3495,111.4311835
0.33,2.6,par_2.6,0.5,0.2,0.29,8.7,3495,54.40213318
0.33,2.6,par_2.6,0.5,0.2,0.65,8.7,3495,55.34423208
0.33,2.6,par_2.6,0.5,0.5,0.65,10.5,3495,72.68946973
0.33,2.6,par_2.6,0.5,0.5,0.65,8.7,3495,62.11117937
0.33,2.6,par_2.6,0.5,0.8,0.37,15,3495,111.2941959
0.33,2.6,par_2.6,0.5,0.8,0.65,8.7,3495,69.54969012
0.33,2.6,par_2.6,0.8,0.2,0.29,10.5,3495,65.11819011
0.33,2.6,par_2.6,0.8,0.2,0.65,10.5,3495,66.24746732
0.33,2.6,par_2.6,0.8,0.5,0.65,8.7,3495,63.18106124
0.33,2.6,par_2.6,0.8,0.8,0.29,10.5,3495,80.47877022
0.33,2.6,par_2.6,0.8,0.8,0.37,15,3495,112.6481128
0.33,4.4,par_2.6,0.2,0.2,0.37,15,3495,73.06692961
0.33,4.4,par_2.6,0.2,0.2,0.37,8.7,3495,48.15006023
0.33,4.4,par_2.6,0.2,0.5,0.37,8.7,3495,51.459311
0.33,4.4,par_2.6,0.2,0.5,0.65,10.5,3495,58.07987099
0.33,4.4,par_2.6,0.2,0.8,0.29,8.7,3495,56.25230463
0.33,4.4,par_2.6,0.5,0.2,0.65,15,3495,74.86449282
0.33,4.4,par_2.6,0.5,0.2,0.65,8.7,3495,48.98750233
0.33,4.4,par_2.6,0.5,0.5,0.29,8.7,3495,52.12310634
0.33,4.4,par_2.6,0.5,0.5,0.65,10.5,3495,59.01543027
0.33,4.4,par_2.6,0.5,0.5,0.65,8.7,3495,52.6355625
0.33,4.4,par_2.6,0.5,0.8,0.29,10.5,3495,64.44582388
0.33,4.4,par_2.6,0.8,0.2,0.29,15,3495,75.04982805
0.33,4.4,par_2.6,0.8,0.2,0.37,15,3495,75.08796936
0.33,4.4,par_2.6,0.8,0.2,0.37,8.7,3495,49.25728073
0.33,4.4,par_2.6,0.8,0.5,0.29,15,3495,82.50656553
0.33,4.4,par_2.6,0.8,0.8,0.29,10.5,3495,65.30626179
0.33,4.4,par_2.6,0.8,0.8,0.29,15,3495,90.60363687
0.33,4.4,par_2.6,0.8,0.8,0.37,15,3495,90.62650946
0.33,4.4,par_2.6,0.8,0.8,0.65,10.5,3495,66.1253081
0.33,4.4,par_2.6,0.8,0.8,0.65,15,3495,91.6360295
0.95,0.11,par1_ar,0.2,0.5,0.29,15,3495,110.3767073
0.95,0.11,par1_ar,0.2,0.5,0.37,8.7,3495,63.52960309
0.95,0.11,par1_ar,0.2,0.5,0.65,15,3495,112.4411616
0.95,0.11,par1_ar,0.2,0.8,0.65,10.5,3495,78.04440691
0.95,0.11,par1_ar,0.5,0.2,0.29,10.5,3495,79.01956978
0.95,0.11,par1_ar,0.5,0.2,0.37,10.5,3495,79.0818659
0.95,0.11,par1_ar,0.5,0.8,0.37,10.5,3495,79.94910158
0.95,0.11,par1_ar,0.5,0.8,0.37,8.7,3495,67.44448092
0.95,0.11,par1_ar,0.5,0.8,0.65,10.5,3495,82.07479689
0.95,0.11,par1_ar,0.5,0.8,0.65,15,3495,117.0713152
0.95,0.11,par1_ar,0.8,0.2,0.65,8.7,3495,71.71256518
0.95,0.11,par1_ar,0.8,0.5,0.29,8.7,3495,70.35336929
0.95,0.11,par1_ar,0.8,0.5,0.37,15,3495,118.4594809
0.95,0.11,par1_ar,0.8,0.5,0.37,8.7,3495,70.41855726
0.95,0.11,par1_ar,0.8,0.8,0.37,10.5,3495,83.54782227
0.95,0.11,par2_la,0.2,0.5,0.29,10.5,3495,75.46872935
0.95,0.11,par2_la,0.2,0.5,0.29,15,3495,109.0889161
0.95,0.11,par2_la,0.2,0.5,0.29,8.7,3495,63.65743998
0.95,0.11,par2_la,0.2,0.5,0.37,15,3495,109.1589965
0.95,0.11,par2_la,0.2,0.8,0.29,10.5,3495,75.86867177
0.95,0.11,par2_la,0.2,0.8,0.65,15,3495,111.5943236
0.95,0.11,par2_la,0.5,0.8,0.29,10.5,3495,79.3133415
0.95,0.11,par2_la,0.5,0.8,0.65,10.5,3495,81.19551015
0.95,0.11,par2_la,0.8,0.2,0.29,10.5,3495,81.79633165
0.95,0.11,par2_la,0.8,0.5,0.29,15,3495,116.7945982
0.95,0.11,par2_la,0.8,0.5,0.29,8.7,3495,70.03459519
0.95,0.11,par2_la,0.8,0.5,0.37,8.7,3495,70.10271617
0.95,0.11,par2_la,0.8,0.8,0.65,8.7,3495,71.98149749
0.95,0.63,par1_ar,0.2,0.5,0.37,15,3495,103.1742459
0.95,0.63,par1_ar,0.2,0.5,0.65,15,3495,104.9632593
0.95,0.63,par1_ar,0.5,0.2,0.65,15,3495,106.4182047
0.95,0.63,par1_ar,0.5,0.5,0.29,8.7,3495,62.06991985
0.95,0.63,par1_ar,0.5,0.8,0.29,15,3495,109.3618275
0.95,0.63,par1_ar,0.5,0.8,0.29,8.7,3495,64.09506106
0.95,0.63,par1_ar,0.5,0.8,0.65,8.7,3495,65.72218582
0.95,0.63,par1_ar,0.8,0.2,0.37,8.7,3495,63.02663448
0.95,0.63,par2_la,0.2,0.5,0.37,8.7,3495,59.86111616
0.95,0.63,par2_la,0.2,0.8,0.29,10.5,3495,72.46202081
0.95,0.63,par2_la,0.5,0.5,0.29,10.5,3495,73.43431633
0.95,0.63,par2_la,0.5,0.5,0.65,15,3495,107.6141375
0.95,0.63,par2_la,0.5,0.8,0.29,8.7,3495,64.36759439
0.95,0.63,par2_la,0.8,0.5,0.29,8.7,3495,65.10752361
0.95,0.63,par2_la,0.8,0.5,0.65,8.7,3495,66.60242433
0.95,0.63,par2_la,0.8,0.8,0.29,8.7,3495,67.08449847
0.95,1.8,par1_ar,0.2,0.2,0.37,15,3495,80.45667211
0.95,1.8,par1_ar,0.2,0.5,0.37,15,3495,87.83901399
0.95,1.8,par1_ar,0.2,0.5,0.37,8.7,3495,55.57480487
0.95,1.8,par1_ar,0.5,0.2,0.37,15,3495,83.42394019
0.95,1.8,par1_ar,0.5,0.2,0.65,15,3495,84.58350459
0.95,1.8,par1_ar,0.5,0.2,0.65,8.7,3495,52.98475184
0.95,1.8,par1_ar,0.5,0.8,0.37,10.5,3495,71.73092377
0.95,1.8,par1_ar,0.8,0.2,0.37,8.7,3495,54.01160931
0.95,1.8,par1_ar,0.8,0.2,0.65,10.5,3495,61.88869087
